295. ['Li', 'S', 'C'], 5.39880988658
296. ['Li', 'S', 'Cl'], 6.38911822415
297. ['Li', 'Sr', 'F'], 6.27721866808
298. ['Li', 'Sr', 'C'], 4.62638556124
299. ['Li', 'Sr', 'Cl'], 5.47500744095
300. ['Li', 'Se', 'F'], 7.24531994238
301. ['Li', 'Se', 'C'], 5.33988782937
302. ['Li', 'Se', 'Cl'], 6.31938804335
303. ['Li', 'Cd', 'F'], 6.86543829104
304. ['Li', 'Cd', 'C'], 5.05991048914
305. ['Li', 'Cd', 'Cl'], 5.98805421897
306. ['Li', 'Ca', 'F'], 6.36035654526
307. ['Li', 'Ca', 'C'], 4.68765917539
308. ['Li', 'Ca', 'Cl'], 5.5475205268
309. ['Li', 'C', 'F'], 7.3352895568
310. ['Li', 'C', 'C'], 5.40619651593
311. ['Li', 'C', 'Cl'], 6.39785978927
312. ['Li', 'Cu', 'F'], 6.86060404763
313. ['Li', 'Cu', 'C'], 5.05634759368
314. ['Li', 'Cu', 'Cl'], 5.98383777853
315. ['Li', 'Ge', 'F'], 6.88642573993
316. ['Li', 'Ge', 'C'], 5.07537849108
317. ['Li', 'Ge', 'Cl'], 6.0063595298
318. ['Li', 'Mg', 'F'], 6.64612879944
319. ['Li', 'Mg', 'C'], 4.89827675946
320. ['Li', 'Mg', 'Cl'], 5.79677187533
321. ['Li', 'Sn', 'F'], 6.78128923688
322. ['Li', 'Sn', 'C'], 4.99789162542
323. ['Li', 'Sn', 'Cl'], 5.91465918177
324. ['Ge', 'Ce', 'S'], 5.05946362174
325. ['Ge', 'Ce', 'Se'], 4.89560958988
326. ['Ge', 'Ce', 'O'], 5.67936955885
327. ['Ge', 'Ce', 'C'], 5.08025905962
328. ['Ge', 'Si', 'S'], 5.54417050127
329. ['Ge', 'Si', 'Se'], 5.36461892073
330. ['Ge', 'Si', 'O'], 6.22346468481
331. ['Ge', 'Si', 'C'], 5.56695818429
332. ['Ge', 'Ti', 'S'], 5.19801812157
333. ['Ge', 'Ti', 'Se'], 5.0296769118
334. ['Ge', 'Ti', 'O'], 5.83490031615
335. ['Ge', 'Ti', 'C'], 5.21938304699
336. ['Ge', 'Se', 'S'], 5.78220828906
337. ['Ge', 'Se', 'Se'], 5.5949476994
338. ['Ge', 'Se', 'O'], 6.4906678247
339. ['Ge', 'Se', 'C'], 5.80597435644
340. ['Ge', 'S', 'S'], 5.84601105393
341. ['Ge', 'S', 'Se'], 5.65668417008
342. ['Ge', 'S', 'O'], 6.56228796226
343. ['Ge', 'S', 'C'], 5.87003936381
344. ['Ge', 'Ge', 'S'], 5.49578877291
345. ['Ge', 'Ge', 'Se'], 5.31780406623
346. ['Ge', 'Ge', 'O'], 6.1691550315
347. ['Ge', 'Ge', 'C'], 5.51837759706
348. ['Ge', 'Sn', 'S'], 5.41188341549
349. ['Ge', 'Sn', 'Se'], 5.23661603857
350. ['Ge', 'Sn', 'O'], 6.07496925048
351. ['Ge', 'Sn', 'C'], 5.43412737133
352. ['Mg', 'Ce', 'S'], 4.88291722819
353. ['Mg', 'Ce', 'Se'], 4.72478076653
354. ['Mg', 'Ce', 'O'], 5.48119198744
355. ['Mg', 'Ce', 'C'], 4.90298702402
356. ['Mg', 'Si', 'S'], 5.35071060504
357. ['Mg', 'Si', 'Se'], 5.17742434953
358. ['Mg', 'Si', 'O'], 6.00630129999
359. ['Mg', 'Si', 'C'], 5.37270312803
360. ['Mg', 'Ti', 'S'], 5.01663696705
361. ['Mg', 'Ti', 'Se'], 4.85416990436
362. ['Mg', 'Ti', 'O'], 5.63129560929
363. ['Mg', 'Ti', 'C'], 5.03725637856
364. ['Mg', 'Se', 'S'], 5.58044223312
365. ['Mg', 'Se', 'Se'], 5.39971596887
366. ['Mg', 'Se', 'O'], 6.26418057589
367. ['Mg', 'Se', 'C'], 5.60337900043
368. ['Mg', 'S', 'S'], 5.64201864577
369. ['Mg', 'S', 'Se'], 5.4592981892
370. ['Mg', 'S', 'O'], 6.33330157955
371. ['Mg', 'S', 'C'], 5.66520850482
372. ['Mg', 'Ge', 'S'], 5.30401712277
373. ['Mg', 'Ge', 'Se'], 5.13224306615
374. ['Mg', 'Ge', 'O'], 5.9538867435
375. ['Mg', 'Ge', 'C'], 5.32581772593
376. ['Mg', 'Sn', 'S'], 5.22303958327
377. ['Mg', 'Sn', 'Se'], 5.05388803712
378. ['Mg', 'Sn', 'O'], 5.86298750849
379. ['Mg', 'Sn', 'C'], 5.24450735205
380. ['Sn', 'Ce', 'S'], 4.98221973172
381. ['Sn', 'Ce', 'Se'], 4.82086729366
382. ['Sn', 'Ce', 'O'], 5.59266143515
383. ['Sn', 'Ce', 'C'], 5.0026976813
384. ['Sn', 'Si', 'S'], 5.45952648987
385. ['Sn', 'Si', 'Se'], 5.2827161609
386. ['Sn', 'Si', 'O'], 6.12844974695
387. ['Sn', 'Si', 'C'], 5.48196626857
388. ['Sn', 'Ti', 'S'], 5.118658891
389. ['Sn', 'Ti', 'Se'], 4.95288778171
390. ['Sn', 'Ti', 'O'], 5.74581767182
391. ['Sn', 'Ti', 'C'], 5.13969763364
392. ['Sn', 'Se', 'S'], 5.69393010494
393. ['Sn', 'Se', 'Se'], 5.50952846189
394. ['Sn', 'Se', 'O'], 6.39157344057
395. ['Sn', 'Se', 'C'], 5.71733333079
396. ['Sn', 'S', 'S'], 5.75675877964
397. ['Sn', 'S', 'Se'], 5.57032238895
398. ['Sn', 'S', 'O'], 6.4621001385
399. ['Sn', 'S', 'C'], 5.78042024429
400. ['Sn', 'Ge', 'S'], 5.41188341549
401. ['Sn', 'Ge', 'Se'], 5.23661603857
402. ['Sn', 'Ge', 'O'], 6.07496925048
403. ['Sn', 'Ge', 'C'], 5.43412737133
404. ['Sn', 'Sn', 'S'], 5.32925905872
405. ['Sn', 'Sn', 'Se'], 5.15666752553
406. ['Sn', 'Sn', 'O'], 5.98222142349
407. ['Sn', 'Sn', 'C'], 5.35116341143
